t,bgt127,jt305,gob33
234.0,223.8062713434362,294.964575713456,661.2661144565237
234.5,223.80627783192824,295.05261703547404,661.5015738400696
235.0,223.80628128452364,295.1400207677371,661.7354302193114
235.5,223.80628182662554,295.22679177034126,661.9676948178287
236.0,223.80627958959155,295.3129348665077,662.1983787911255
236.5,223.8062747107339,295.3984548425821,662.4274932266298
237.0,223.8062673333192,295.48335644803535,662.6550491436942
237.5,223.80625760656864,295.56764439546276,662.8810574935952
238.0,223.80624568565793,295.65132336058485,663.105529159534
238.5,223.80623173171733,295.73439798224666,663.3284749566357
239.0,223.80621591183154,295.8168728624182,663.54990563195
239.5,223.80619839903983,295.8987525661943,663.7698318644506
240.0,223.80617937233598,295.98004162179456,663.9882642650356
240.5,223.80615901666826,296.06074452056345,664.2052133765276
241.0,223.8061375229395,296.1408664558842,664.4206896736729
241.5,223.806115088007,296.2204134769278,664.6347035631428
242.0,223.8060919146826,296.29938939287024,664.8472653835322
242.5,223.8060682117327,296.3777978806674,665.0583854053609
243.0,223.8060441938781,296.4556426025544,665.2680738310725
243.5,223.80602008179426,296.5329272060458,665.4763407950351
244.0,223.80599610211104,296.6096553239354,665.683196363541
244.5,223.80597248741287,296.6858305742963,665.8886505348067
245.0,223.8059494762387,296.76145656048095,666.0927132389733
245.5,223.805927313082,296.83653687112115,666.2953943381059
246.0,223.80590624839073,296.9110750801279,666.4967036261938
246.5,223.80588653856736,296.98507474669157,666.696650829151
247.0,223.8058684459689,297.0585394152819,666.8952456048152
